text,font_size,bold,italic,y_position,page_number,label,lang
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.6,0,0,382.48,27,Other,hi
This is an example sentence in English about a certain topic.,10.67,1,0,418.39,17,Other,en
11. Section principale,16.65,1,1,295.06,18,H1,fr
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.58,0,0,421.99,16,Other,de
3.14 Unterabschnitt,17.99,0,1,700.29,14,H2,de
19.4 Subsección,14.37,0,0,522.49,15,H2,es
Esta es una frase de ejemplo en español sobre un tema determinado.,11.53,0,0,60.83,37,Other,es
This is an example sentence in English about a certain topic.,10.25,0,0,680.21,22,Other,en
9.11 उप अनुभाग,14.77,0,0,623.42,6,H2,hi
18.9.9 Nested Section,12.69,0,1,384.51,26,H3,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.11,0,0,695.59,27,Other,de
Chapitre 20 : Introduction à quelque chose,24.68,1,0,219.83,30,Title,fr
18.14 Subsection,14.02,0,0,115.02,33,H2,en
1.7 Unterabschnitt,16.59,1,0,670.24,17,H2,de
Ceci est une phrase d'exemple en français sur un certain sujet.,11.16,1,0,335.53,9,Other,fr
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.27,0,1,194.68,32,Other,de
5.14 Unterabschnitt,14.77,0,0,294.41,37,H2,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.9,1,1,309.54,10,Other,de
8.1 उप अनुभाग,14.28,1,0,164.26,15,H2,hi
Kapitel 6: Einführung in etwas,23.28,1,0,442.17,10,Title,de
अध्याय 9: किसी विषय का परिचय,24.99,1,0,662.07,29,Title,hi
20. Section principale,18.48,1,1,165.13,3,H1,fr
10. Major Section,16.06,1,1,177.74,23,H1,en
5.14.11 Sección anidada,13.83,0,0,224.83,22,H3,es
Ceci est une phrase d'exemple en français sur un certain sujet.,10.96,0,0,432.1,6,Other,fr
Esta es una frase de ejemplo en español sobre un tema determinado.,10.39,0,0,570.73,0,Other,es
Ceci est une phrase d'exemple en français sur un certain sujet.,13.31,1,0,799.83,10,Other,fr
18.8.7 Sección anidada,12.87,0,0,769.57,17,H3,es
Esta es una frase de ejemplo en español sobre un tema determinado.,12.53,0,1,329.9,39,Other,es
10.9.3 Verschachtelter Abschnitt,15.59,0,1,710.37,2,H3,de
19.11 Unterabschnitt,15.59,0,0,487.03,13,H2,de
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.88,0,0,634.27,38,Other,hi
4. Major Section,16.35,0,0,88.63,40,H1,en
11.5 Unterabschnitt,16.76,0,1,279.4,8,H2,de
18.12 Sous-section,16.14,1,1,696.48,39,H2,fr
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.7,0,0,596.23,8,Other,de
9.13 उप अनुभाग,15.85,1,0,201.41,37,H2,hi
13.5 Subsection,17.06,0,0,634.39,31,H2,en
Esta es una frase de ejemplo en español sobre un tema determinado.,13.38,1,1,567.93,20,Other,es
12.5 Unterabschnitt,15.52,0,1,172.24,11,H2,de
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.94,0,0,702.1,21,Other,hi
9.7.5 Verschachtelter Abschnitt,13.72,0,0,60.69,14,H3,de
20.3.10 नेस्टेड अनुभाग,15.23,1,0,292.56,36,H3,hi
Ceci est une phrase d'exemple en français sur un certain sujet.,12.95,1,1,101,27,Other,fr
9. Major Section,19.07,1,0,259.58,11,H1,en
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.13,1,0,240.23,35,Other,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.59,1,1,581.68,22,Other,de
Esta es una frase de ejemplo en español sobre un tema determinado.,10.96,0,0,88.7,33,Other,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.94,0,0,703.13,39,Other,de
Ceci est une phrase d'exemple en français sur un certain sujet.,10.94,0,0,646.35,0,Other,fr
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.91,0,0,110.28,13,Other,hi
7.11 Unterabschnitt,14.79,1,0,116.65,36,H2,de
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.79,0,0,788.39,21,Other,hi
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.8,0,1,232.61,8,Other,hi
This is an example sentence in English about a certain topic.,13.28,1,0,237.21,22,Other,en
14. Section principale,16.28,1,0,397.04,36,H1,fr
12.14.2 Nested Section,14.52,0,1,68.99,16,H3,en
This is an example sentence in English about a certain topic.,10.28,1,0,574.46,18,Other,en
This is an example sentence in English about a certain topic.,12.43,0,0,357,4,Other,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.26,0,1,403.56,27,Other,de
Chapter 17: Introduction to Something,20.04,1,1,563.74,39,Title,en
Ceci est une phrase d'exemple en français sur un certain sujet.,10.79,0,0,252.82,0,Other,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,12.89,0,0,91.78,4,Other,fr
This is an example sentence in English about a certain topic.,10.83,0,0,621.35,15,Other,en
5.14 Subsección,15.31,0,1,330.23,31,H2,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.25,1,0,325.53,16,Other,hi
This is an example sentence in English about a certain topic.,12.74,0,0,389.62,21,Other,en
2.6.2 Verschachtelter Abschnitt,14.28,0,0,523.38,32,H3,de
9.15.9 Verschachtelter Abschnitt,14.64,0,0,50.9,23,H3,de
11.8.7 नेस्टेड अनुभाग,13.61,0,0,357.08,35,H3,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.3,1,1,100.85,17,Other,de
Ceci est une phrase d'exemple en français sur un certain sujet.,11.91,0,0,135.08,6,Other,fr
7.5.9 नेस्टेड अनुभाग,12.28,0,0,247.06,11,H3,hi
Ceci est une phrase d'exemple en français sur un certain sujet.,12.98,0,1,318.85,21,Other,fr
5. Major Section,17.82,1,0,749.91,10,H1,en
Capítulo 14: Introducción a algo,23.55,1,1,779.31,26,Title,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.3,0,0,450.08,38,Other,de
Esta es una frase de ejemplo en español sobre un tema determinado.,10.16,0,1,120.46,29,Other,es
This is an example sentence in English about a certain topic.,11.66,0,1,687.74,12,Other,en
12.7.2 Sección anidada,14.49,0,0,581.03,39,H3,es
18.3.12 नेस्टेड अनुभाग,14.84,0,0,525.98,7,H3,hi
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.55,0,0,200.88,35,Other,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.36,0,0,187.64,14,Other,de
Esta es una frase de ejemplo en español sobre un tema determinado.,13.1,0,1,703.59,5,Other,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.1,0,1,471.6,3,Other,de
Esta es una frase de ejemplo en español sobre un tema determinado.,10.28,0,0,369.99,17,Other,es
7.1 Subsección,17.21,0,0,640.81,35,H2,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.75,0,0,323.25,23,Other,de
Esta es una frase de ejemplo en español sobre un tema determinado.,10.45,0,0,197.15,25,Other,es
Ceci est une phrase d'exemple en français sur un certain sujet.,11.48,1,0,350.78,35,Other,fr
4.7 उप अनुभाग,16.74,1,0,402.9,15,H2,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,11.1,0,1,120.75,6,Other,es
This is an example sentence in English about a certain topic.,13.5,0,0,253.44,40,Other,en
Ceci est une phrase d'exemple en français sur un certain sujet.,11.54,0,1,676.82,1,Other,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,13.05,0,0,179,5,Other,fr
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.18,0,1,254.48,29,Other,de
16.10.2 Nested Section,14.13,1,1,370.29,20,H3,en
Esta es una frase de ejemplo en español sobre un tema determinado.,12.4,0,1,468.84,37,Other,es
This is an example sentence in English about a certain topic.,11.86,0,0,98.92,8,Other,en
7.7 Subsección,15.24,1,0,164.39,2,H2,es
12.3.7 Section imbriquée,12.43,1,0,126.08,30,H3,fr
This is an example sentence in English about a certain topic.,11.45,1,0,346.62,40,Other,en
This is an example sentence in English about a certain topic.,10.79,1,1,116.17,15,Other,en
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.55,0,0,57.01,16,Other,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,13.23,0,0,303.38,7,Other,es
Esta es una frase de ejemplo en español sobre un tema determinado.,10.64,1,0,107.67,40,Other,es
This is an example sentence in English about a certain topic.,12.6,0,1,176.23,20,Other,en
12.10 Sous-section,17.44,1,0,635.98,8,H2,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,13.94,0,0,716.75,7,Other,fr
10.2 उप अनुभाग,17.99,0,0,570.64,2,H2,hi
7.2 Unterabschnitt,14.09,1,1,643.71,24,H2,de
Ceci est une phrase d'exemple en français sur un certain sujet.,13.58,0,0,720.73,19,Other,fr
12.15.7 Section imbriquée,14.36,0,0,549.38,4,H3,fr
13. Section principale,19.54,1,0,130.45,32,H1,fr
2.11.9 नेस्टेड अनुभाग,12.54,0,0,110.21,37,H3,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,12.03,0,0,441.13,24,Other,es
Esta es una frase de ejemplo en español sobre un tema determinado.,12.78,0,0,160.21,39,Other,es
Esta es una frase de ejemplo en español sobre un tema determinado.,10.99,0,1,342.68,40,Other,es
Esta es una frase de ejemplo en español sobre un tema determinado.,12.08,0,0,725.09,37,Other,es
2. Section principale,19.81,1,0,250.98,26,H1,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,11.72,0,0,326.63,19,Other,fr
This is an example sentence in English about a certain topic.,10.51,0,1,268.81,32,Other,en
6.1.5 Section imbriquée,12.75,1,1,295.67,1,H3,fr
9.5 Sous-section,15.3,1,1,76.33,5,H2,fr
This is an example sentence in English about a certain topic.,12.04,0,0,204.13,12,Other,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.21,0,0,776.13,33,Other,de
This is an example sentence in English about a certain topic.,12.15,0,0,516.38,7,Other,en
Esta es una frase de ejemplo en español sobre un tema determinado.,11.64,1,0,280.76,37,Other,es
Ceci est une phrase d'exemple en français sur un certain sujet.,11.6,0,0,534.36,17,Other,fr
17. Sección principal,19.53,0,0,386.55,40,H1,es
19.12 Subsección,16.69,0,1,337.43,30,H2,es
Ceci est une phrase d'exemple en français sur un certain sujet.,10.56,0,0,786.66,9,Other,fr
Esta es una frase de ejemplo en español sobre un tema determinado.,10.45,0,0,54.54,6,Other,es
This is an example sentence in English about a certain topic.,10.85,0,1,455.64,25,Other,en
9.4 Subsección,14.22,0,0,50.43,30,H2,es
5.10.2 नेस्टेड अनुभाग,13.53,0,0,185.95,35,H3,hi
This is an example sentence in English about a certain topic.,10.29,1,1,179.66,13,Other,en
Chapitre 13 : Introduction à quelque chose,23.25,1,0,215.08,18,Title,fr
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.66,0,0,561.1,10,Other,de
1. मुख्य अनुभाग,18.5,0,0,241.26,2,H1,hi
15. Major Section,16.74,1,1,266.33,16,H1,en
Ceci est une phrase d'exemple en français sur un certain sujet.,10.54,0,0,621.36,29,Other,fr
Esta es una frase de ejemplo en español sobre un tema determinado.,11.37,0,0,315.68,12,Other,es
This is an example sentence in English about a certain topic.,11.83,1,1,57.12,0,Other,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.7,0,0,182.97,24,Other,de
6.11 उप अनुभाग,14.62,1,0,510.92,18,H2,hi
11.14 उप अनुभाग,15.49,0,0,736.69,9,H2,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.29,0,0,418,36,Other,de
Kapitel 13: Einführung in etwas,21.78,1,1,270.21,31,Title,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.41,1,0,229.85,2,Other,de
5. Hauptabschnitt,19.2,1,0,108.26,16,H1,de
1.7.5 Nested Section,14.97,0,1,137.72,20,H3,en
Capítulo 17: Introducción a algo,25.12,1,0,789.23,31,Title,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.16,1,0,117.18,37,Other,de
15.9 Sous-section,17.48,1,0,105.26,1,H2,fr
7.15 Subsección,15.76,1,0,718.99,4,H2,es
19.12 Sous-section,16.49,1,0,595.17,19,H2,fr
3.7 Sous-section,16.97,1,0,221.09,38,H2,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,10.85,0,0,631.77,10,Other,fr
This is an example sentence in English about a certain topic.,13.17,1,0,209.6,28,Other,en
13.1.11 नेस्टेड अनुभाग,15.97,1,0,783.48,9,H3,hi
4.11.1 Section imbriquée,13.75,0,0,587.56,27,H3,fr
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.68,1,0,354.1,18,Other,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,10.47,1,1,761.19,30,Other,es
6. Sección principal,17.86,1,0,704.81,0,H1,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.97,1,0,407.1,22,Other,de
Esta es una frase de ejemplo en español sobre un tema determinado.,12.78,1,0,658.83,5,Other,es
4.9 Subsection,15.86,1,0,509.59,13,H2,en
This is an example sentence in English about a certain topic.,12.07,0,0,51.86,18,Other,en
3.3.5 Verschachtelter Abschnitt,15.77,1,1,466.26,30,H3,de
Capítulo 19: Introducción a algo,24.39,1,1,93.13,38,Title,es
Esta es una frase de ejemplo en español sobre un tema determinado.,10.2,0,0,295.85,13,Other,es
9. Sección principal,17.13,1,1,619.33,39,H1,es
9.3.2 Nested Section,13.53,1,0,631.87,34,H3,en
Ceci est une phrase d'exemple en français sur un certain sujet.,10.51,0,1,444.26,23,Other,fr
11.6.5 Sección anidada,13.29,1,0,258.69,1,H3,es
9.11 Subsection,14.23,0,0,183.08,30,H2,en
7.10 Subsección,16.51,0,1,316.58,7,H2,es
6.7 Sous-section,17.57,0,1,369.36,34,H2,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,10.6,1,0,377.6,38,Other,fr
1.15 Subsection,16.69,1,0,135.56,4,H2,en
2.12.8 Sección anidada,15.25,0,0,628.75,8,H3,es
Ceci est une phrase d'exemple en français sur un certain sujet.,12.8,0,1,532.77,28,Other,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,13.87,1,1,579.56,6,Other,fr
10. Major Section,17.92,0,1,361.47,8,H1,en
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.94,0,0,600.52,33,Other,hi
12.9 Unterabschnitt,17.83,1,1,564.14,30,H2,de
16.4.9 Verschachtelter Abschnitt,12.96,1,0,452.92,7,H3,de
1.1.5 Section imbriquée,14.18,0,1,66.91,24,H3,fr
This is an example sentence in English about a certain topic.,10.12,0,0,787.72,3,Other,en
19.10.11 Verschachtelter Abschnitt,12.87,0,0,265.99,13,H3,de
1.13.4 नेस्टेड अनुभाग,13.24,0,1,678.24,16,H3,hi
3.15.1 Verschachtelter Abschnitt,14.43,0,0,156.83,37,H3,de
8.6.9 Nested Section,15.51,0,1,655.57,35,H3,en
7.1.1 Verschachtelter Abschnitt,15.59,0,0,443.57,13,H3,de
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.78,0,0,480.91,28,Other,hi
2.12 Unterabschnitt,14.34,1,0,448.22,12,H2,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.35,1,0,703.67,4,Other,de
4.3 Unterabschnitt,14.35,0,0,99.76,26,H2,de
Ceci est une phrase d'exemple en français sur un certain sujet.,10.63,0,0,613.64,33,Other,fr
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.75,0,0,436.15,19,Other,hi
5. Hauptabschnitt,17.29,0,0,439.87,35,H1,de
This is an example sentence in English about a certain topic.,12.13,0,0,79.13,15,Other,en
13. Sección principal,18.32,1,0,747.06,16,H1,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,11.2,1,0,125.65,39,Other,hi
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.65,1,1,526.46,18,Other,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,12.34,1,1,391.15,16,Other,es
17.1 उप अनुभाग,14.52,1,0,96.85,4,H2,hi
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,10.22,0,1,661.95,12,Other,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,12.95,1,0,184.32,31,Other,es
15. Sección principal,17.03,1,1,58.82,35,H1,es
9. मुख्य अनुभाग,16.48,1,0,505.36,10,H1,hi
13.11.10 Verschachtelter Abschnitt,14.28,0,0,424.01,21,H3,de
18.10 Unterabschnitt,14.47,0,0,639.58,3,H2,de
14.14.2 Sección anidada,15.01,0,0,54.25,33,H3,es
This is an example sentence in English about a certain topic.,13.47,0,0,560.03,10,Other,en
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.31,1,0,645.04,21,Other,hi
Ceci est une phrase d'exemple en français sur un certain sujet.,12.06,0,0,97.89,13,Other,fr
This is an example sentence in English about a certain topic.,13.86,0,0,246.4,3,Other,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.61,1,0,238.75,27,Other,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.38,0,1,482.58,37,Other,de
14. Hauptabschnitt,19.38,0,0,241.84,31,H1,de
5. Sección principal,18.14,0,1,114.5,40,H1,es
This is an example sentence in English about a certain topic.,10.73,1,1,318.74,27,Other,en
Ceci est une phrase d'exemple en français sur un certain sujet.,12.89,0,1,575.45,2,Other,fr
9. Hauptabschnitt,16.7,1,0,400.86,7,H1,de
This is an example sentence in English about a certain topic.,12.12,1,1,618.72,10,Other,en
7.10 Sous-section,14.8,0,0,636.83,24,H2,fr
16.3 Subsection,14.55,0,0,351.41,14,H2,en
Ceci est une phrase d'exemple en français sur un certain sujet.,12.59,0,0,60.43,34,Other,fr
10. मुख्य अनुभाग,17.55,1,1,52.35,19,H1,hi
This is an example sentence in English about a certain topic.,11.06,1,1,249.11,40,Other,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.29,0,1,127.05,20,Other,de
अध्याय 13: किसी विषय का परिचय,25.67,1,1,493.71,33,Title,hi
This is an example sentence in English about a certain topic.,11.25,0,0,621.49,33,Other,en
Ceci est une phrase d'exemple en français sur un certain sujet.,10.25,0,0,83.25,40,Other,fr
Chapter 19: Introduction to Something,22.99,1,0,394.53,26,Title,en
Esta es una frase de ejemplo en español sobre un tema determinado.,10.24,0,0,443.79,6,Other,es
Capítulo 5: Introducción a algo,24.85,1,0,109.31,14,Title,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.84,1,0,132.44,4,Other,de
5.13 उप अनुभाग,17.9,1,0,751.32,13,H2,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,13.27,0,0,586.36,16,Other,es
17.3.2 नेस्टेड अनुभाग,15.72,0,1,381.41,34,H3,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.01,1,1,474.98,27,Other,de
20.4 Subsección,17.77,0,0,591.94,3,H2,es
11.1 Subsection,17.53,0,1,565.55,13,H2,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.9,1,0,763.63,27,Other,de
Esta es una frase de ejemplo en español sobre un tema determinado.,10.16,0,0,425.93,3,Other,es
Kapitel 1: Einführung in etwas,21.67,1,0,124.64,36,Title,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.41,0,0,780.3,33,Other,de
10. मुख्य अनुभाग,19.65,1,0,275.96,21,H1,hi
17.4 Sous-section,14.21,0,0,180.17,17,H2,fr
12.13 उप अनुभाग,14.58,1,0,410.61,17,H2,hi
18. Major Section,18.66,1,0,477.75,29,H1,en
5.5 उप अनुभाग,14.69,0,1,220.26,19,H2,hi
Esta es una frase de ejemplo en español sobre un tema determinado.,11.44,1,0,532.94,17,Other,es
This is an example sentence in English about a certain topic.,13.96,0,1,180.69,28,Other,en
15.3 Subsección,17.44,0,1,368.09,9,H2,es
Ceci est une phrase d'exemple en français sur un certain sujet.,10.72,1,0,168.42,27,Other,fr
16. Section principale,16.81,0,0,752.27,36,H1,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,13.29,0,0,78.44,22,Other,fr
2.13 उप अनुभाग,16.5,1,0,723.33,26,H2,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.28,0,1,666.68,33,Other,de
अध्याय 7: किसी विषय का परिचय,20.34,1,0,509.97,3,Title,hi
14.3.1 Verschachtelter Abschnitt,15.8,1,0,298.38,39,H3,de
10.10.6 Sección anidada,12.45,0,1,735.61,3,H3,es
6.14 Subsection,14.47,0,0,527.33,11,H2,en
2. Major Section,18.92,1,0,487.5,5,H1,en
Ceci est une phrase d'exemple en français sur un certain sujet.,13.45,0,1,513.68,30,Other,fr
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.1,1,0,56.65,28,Other,hi
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.43,0,1,295.64,31,Other,de
Ceci est une phrase d'exemple en français sur un certain sujet.,10.92,0,1,223.62,22,Other,fr
2. Hauptabschnitt,19.8,0,0,128.31,28,H1,de
18.12.10 Section imbriquée,13.76,1,0,491.2,18,H3,fr
11.8 Sous-section,16.23,1,0,633.51,13,H2,fr
Esta es una frase de ejemplo en español sobre un tema determinado.,13.21,0,0,773.49,33,Other,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.23,1,0,369.32,22,Other,hi
8.1 Subsección,16.47,1,0,55.41,1,H2,es
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.19,1,0,523.75,37,Other,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.84,1,0,380.36,22,Other,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.22,1,0,727.67,12,Other,de
This is an example sentence in English about a certain topic.,11.09,0,1,110.58,16,Other,en
This is an example sentence in English about a certain topic.,11.93,0,1,97.41,5,Other,en
Esta es una frase de ejemplo en español sobre un tema determinado.,13.52,0,0,176.01,1,Other,es
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.35,0,1,166.88,11,Other,hi
4. Section principale,17.38,1,0,445.81,14,H1,fr
Ceci est une phrase d'exemple en français sur un certain sujet.,13.95,0,0,660.26,11,Other,fr
17. Hauptabschnitt,17.37,0,0,568.34,19,H1,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.57,0,1,346.59,15,Other,de
Esta es una frase de ejemplo en español sobre un tema determinado.,13.51,0,0,644.03,21,Other,es
17.11 Sous-section,16.14,1,1,395.84,4,H2,fr
7.6 Subsection,15.57,1,0,358.31,35,H2,en
19. मुख्य अनुभाग,18.66,0,0,318.77,7,H1,hi
16.14 Subsection,14.59,1,0,532.36,38,H2,en
1. Section principale,18.35,1,0,371.81,16,H1,fr
6.2 Sous-section,17.31,1,0,96.01,23,H2,fr
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,13.08,1,0,635.68,24,Other,hi
7.6.7 Section imbriquée,13.81,0,1,539.4,20,H3,fr
1.4 उप अनुभाग,14.86,0,1,600.23,20,H2,hi
7. Hauptabschnitt,19.85,1,0,472.11,13,H1,de
Ceci est une phrase d'exemple en français sur un certain sujet.,11.36,0,0,505.05,30,Other,fr
This is an example sentence in English about a certain topic.,13.6,0,0,160.15,32,Other,en
3. Hauptabschnitt,16.43,0,1,417.94,24,H1,de
2. Section principale,17.47,1,1,742.05,39,H1,fr
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,12.22,1,0,161.28,7,Other,hi
18.9 Subsection,15.43,0,0,599.41,28,H2,en
8.9.12 Verschachtelter Abschnitt,15.9,1,1,218.77,40,H3,de
Ceci est une phrase d'exemple en français sur un certain sujet.,11.7,0,0,458.46,32,Other,fr
Esta es una frase de ejemplo en español sobre un tema determinado.,10.6,1,0,425.44,21,Other,es
10. Hauptabschnitt,19.14,1,0,446.66,37,H1,de
Ceci est une phrase d'exemple en français sur un certain sujet.,11.7,1,0,651.78,2,Other,fr
14.11.8 Verschachtelter Abschnitt,15.77,0,0,532.32,1,H3,de
19.8.9 Nested Section,13.25,0,1,548.68,5,H3,en
Esta es una frase de ejemplo en español sobre un tema determinado.,11.25,0,0,544.99,8,Other,es
13.5 Unterabschnitt,14.17,0,1,491.24,22,H2,de
13.11 Subsección,14.73,1,1,337.4,19,H2,es
18. मुख्य अनुभाग,18.87,1,1,112.04,11,H1,hi
4.4.1 Nested Section,12.08,1,0,203.05,13,H3,en
Ceci est une phrase d'exemple en français sur un certain sujet.,13.88,1,1,208.31,27,Other,fr
This is an example sentence in English about a certain topic.,11.07,0,1,495.85,22,Other,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.77,1,0,352.91,8,Other,de
18.7.10 Section imbriquée,15.45,0,1,206.69,34,H3,fr
12.15 Unterabschnitt,16.48,0,0,625.57,3,H2,de
1. Section principale,19.67,1,1,330.83,29,H1,fr
This is an example sentence in English about a certain topic.,11.11,0,0,565.08,30,Other,en
यह किसी विषय के बारे में हिंदी में एक उदाहरण वाक्य है।,10.99,1,1,655.97,39,Other,hi
2.2 Unterabschnitt,17.69,1,0,537.12,12,H2,de
